id,title,date,genres,keyword1,keyword2,keyword3,keyword4,keyword5,link,profile
1,"[전체, 강의평가] 중간강의평가(1차, 10/13~10/19) 실시 안내(2023-2학기)",2023-10-11,학사,수업,관리,강화,학기,부터,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=1&mode=view&idx=93565,
2,[전체] 2023-2 학생선택형P/N 신청 안내,2023-10-06,학사,학생,선택,신청,다음,공지,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=1&mode=view&idx=93550,
3,[전체] 2023-2 중간고사 안내,2023-10-06,학사,학기,중간고사,실시,아래,안내,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=1&mode=view&idx=93534,
4,[전체] 10월2일 임시공휴일 지정에 따른 휴보강안내,2023-09-21,학사,추석,연휴,임시,공휴일,지정,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=1&mode=view&idx=93429,
5,2023학년도 동계 계절학기 시행 안내,2023-10-13,학사,학년,동계,계절,학기,다음,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=1&mode=view&idx=93608,
6,2023-2학기 폐지과목 성적삭제 신청 공고,2023-10-06,학사,학기,폐지,과목,성적,삭제신청,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=1&mode=view&idx=93532,
7,2023-2학기 학점포기 신청 공고,2023-10-06,학사,학기,학점,포기,신청,공고,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=1&mode=view&idx=93530,
8,"2023학년도 2학기 졸업시험(영어,컴퓨터) 대체 프로그램 안내",2023-09-14,학사,학년,학기,졸업,시험,영어,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=1&mode=view&idx=93335,
9,[전체] 2023-2 2차 폐강 및 합반 강좌,2023-09-11,학사,학기,폐강,및합반강좌,알림,학기,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=1&mode=view&idx=93295,
10,[전체]2023-2학기 K-MOOC 학점(일반선택학점 인정) 신청 공고,2023-09-05,학사,학기,학점,일반,선택,학점,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=1&mode=view&idx=93218,
11,[전체]2023-2학기 군복무 중 취득학점 인정 신청 공고,2023-09-05,학사,학기,군복무,취득,학점,인정,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=1&mode=view&idx=93217,
12,2023-2학기 CBT 운영 안내,2023-09-01,학사,외국어,교육,학년,학기,운영,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=1&mode=view&idx=93185,
13,"[전체,등록] 2023-2학기 등록금 추가 납부 안내",2023-08-28,학사,학기,등록금,추가,납부,안내,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=1&mode=view&idx=93122,
14,2023학년도 2학기 유고결석계 및 취업계 신청 안내,2023-08-28,학사,학년,학기,유고,결석,취업,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=1&mode=view&idx=93120,
15,2023-2 부산디지털대학교 강좌 수강안내,2023-08-25,학사,부산,디지털,대학교,진행,강좌,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=1&mode=view&idx=93112,
16,"[전체, 강의평가] 중간강의평가(1차, 10/13~10/19) 실시 안내(2023-2학기)",2023-10-11,학사,수업,관리,강화,학기,부터,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=2&mode=view&idx=93565,
17,[전체] 2023-2 학생선택형P/N 신청 안내,2023-10-06,학사,학생,선택,신청,다음,공지,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=2&mode=view&idx=93550,
18,[전체] 2023-2 중간고사 안내,2023-10-06,학사,학기,중간고사,실시,아래,안내,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=2&mode=view&idx=93534,
19,[전체] 10월2일 임시공휴일 지정에 따른 휴보강안내,2023-09-21,학사,추석,연휴,임시,공휴일,지정,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=2&mode=view&idx=93429,
20,2023-2 OCU컨소시엄 강좌 수강안내,2023-08-25,학사,한국,사이버,대학교,운영,컨소시엄,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=2&mode=view&idx=93111,
21,[전체] 2023-2 1차 폐강 및 합반강좌 안내,2023-08-25,학사,학기,폐강,및합반강좌,첨부파일,공고,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=2&mode=view&idx=93109,
22,2023-2학기 취업연계실무 교과목 신청 안내(기간재연장),2023-08-14,학사,취업,실무,교과목,신청,안내,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=2&mode=view&idx=93041,
23,"[전체,등록] 2023-2학기 등록금 납부 안내",2023-08-10,학사,학기,등록금,납부,안내,학년,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=2&mode=view&idx=93024,
24,[전체] 2023-2 수강신청 안내,2023-08-04,학사,학기,수강신청,정구,예비,수강신청,https://www.dongseo.ac.kr/kr/index.php?pCode=MN2000194&pg=2&mode=view&idx=92988,
